ProfileID,MeastID,U-Sensor,GapPresentBits_Gap3233toGap0001,meast_idx
284416,761,44.25,000000000111100000000000000000000,760
284417,762,44.313,000000000111100000000000000000000,761
284418,763,44.377,000000000111100000000000000000000,762
284419,764,44.441,000000000111100000000000000000000,763
284420,765,44.505,000000000111100000000000000000000,764
284421,766,44.568,000000000111100000000000000000000,765
284422,767,44.632,000000000111100000000000000000000,766
284423,768,44.696,000000000111100000000000000000000,767
284424,769,44.759,000000000111100000000000000000000,768
284425,770,44.823,000000000111100000000000000000000,769
284426,771,44.886,000000000111000000000000000000000,770
284427,772,44.95,000000000111000000000000000000000,771
284428,773,45.013,000000000111000000000000000000000,772
284429,774,45.077,000000000111000000000000000000000,773
284430,775,45.14,000000000111000000000000000000000,774
284431,776,45.203,000000000111000000000000000000000,775
284432,777,45.268,000000000110000000000000000000000,776
284433,778,45.332,000000000110000000000000000000000,777
284434,779,45.395,000000000110000000000000000000000,778
284435,780,45.458,000000000110000000000000000000000,779
284436,781,45.522,000000000110000000000000000000000,780
284437,782,45.586,000000000110000000000000000000000,781
284438,783,45.65,000000000110000000000000000000000,782
284439,784,45.713,000000000110000000000000000000000,783
284440,785,45.777,000000000100000000000000000000000,784
284441,786,45.84,000000000100000000000000000000000,785
284442,787,45.904,000000000100000000000000000000000,786
284443,788,45.968,000000000100000000000000000000000,787
284444,789,46.031,000000000100000000000000000000000,788
284445,790,46.095,000000000100000000000000000000000,789
284446,791,46.158,000000000100000000000000000000000,790
284447,792,46.222,000000000100000000000000000000000,791
284491,836,49.021,000000000111111111111111000000000,835
284492,837,49.085,000000000111111111111111000000000,836
284493,838,49.149,000000000111111111111111000000000,837
284494,839,49.212,000000000111111111111111000000000,838
284495,840,49.276,000000000111111111111111000000000,839
284496,841,49.339,000000000111111111111111000000000,840
284497,842,49.403,000000000111111111111111000000000,841
284498,843,49.467,000000000111111111111111000000000,842
284499,844,49.53,000000000111111111111111000000000,843
284500,845,49.594,000000000111111111111111000000000,844
284501,846,49.658,000000000111111111111111000000000,845
