MeastID,Ply,Course,U-Roller,U-Sensor,U-TowChangeProgramed,TowPresentBitmap,GapPresentBitmap,ProfileID,Notes,X,Y,Z,C,n1,n2,n3,j1,j2,j3,j4,j5,j6
118,3,26,4.773968,3.336,0,16776960,16776704,283773,,6.434,-21.971,121.032,0,1,0,0,0,0,0,0,0,0
119,3,26,4.83784,3.4,0,16776960,16776704,283774,,6.434,-21.971,120.968,0,1,0,0,0,0,0,0,0,0
120,3,26,4.901552,3.464,0,16776960,16776704,283775,,6.434,-21.971,120.904,0,1,0,0,0,0,0,0,0,0
121,3,26,4.964936,3.527,0,16776960,16776704,283776,,6.434,-21.971,120.841,0,1,0,0,0,0,0,0,0,0
122,3,26,5.028216,3.59,0,16776960,16776704,283777,,6.434,-21.971,120.777,0,1,0,0,0,0,0,0,0,0
123,3,26,5.092248,3.654,0,16776960,16776704,283778,,6.434,-21.972,120.713,0,1,0,0,0,0,0,0,0,0
124,3,26,5.155936,3.717,0,16776960,16776704,283779,,6.434,-21.972,120.65,0,1,0,0,0,0,0,0,0,0
125,3,26,5.219296,3.78,0,16776960,16776704,283780,,6.434,-21.972,120.587,0,1,0,0,0,0,0,0,0,0
126,3,26,5.282784,3.844,0,16776960,16776704,283781,,6.434,-21.972,120.523,0,1,0,0,0,0,0,0,0,0
127,3,26,5.346864,3.908,0,16776960,16776704,283782,,6.434,-21.972,120.459,0,1,0,0,0,0,0,0,0,0
128,3,26,5.410312,3.971,0,16776960,16776704,283783,,6.434,-21.972,120.396,0,1,0,0,0,0,0,0,0,0
129,3,26,5.47364,4.035,0,16776960,16776704,283784,,6.434,-21.972,120.332,0,1,0,0,0,0,0,0,0,0
130,3,26,5.537352,4.099,0,16776960,16776704,283785,,6.434,-21.972,120.268,0,1,0,0,0,0,0,0,0,0
131,3,26,5.6016,4.163,0,16776960,16776704,283786,,6.434,-21.972,120.204,0,1,0,0,0,0,0,0,0,0
132,3,26,5.6652,4.227,0,16776960,16776704,283787,,6.434,-21.972,120.14,0,1,0,0,0,0,0,0,0,0
133,3,26,5.728728,4.29,0,16776960,16776704,283788,,6.434,-21.972,120.077,0,1,0,0,0,0,0,0,0,0
134,3,26,5.792352,4.354,0,16776960,16776704,283789,,6.434,-21.972,120.013,0,1,0,0,0,0,0,0,0,0
135,3,26,5.85584,4.417,0,16776960,16776704,283790,,6.434,-21.972,119.95,0,1,0,0,0,0,0,0,0,0
